Type;Cote;Disponibilité;Fond;Titre;Auteur;Date;Édition;Tome;Thème général;Thème particulier;Résumé;Recollage
Livre;FL 394 2 Fet;Empruntable;Local;FÊTES ET SPECTACLES DANS LES DEUX-SÈVRES 1870-1914;Collectif;1990;1;;Sciences Sociales;Sciences Sociales Fêtes, carnavals;"Catalogue de l'exposition présentée par les Archives Départementales des Deux-Sèvres - juillet - décembre 1990 : les réjouissances publiques à caractère laïc : 
- Fêtes républicaines, le 14 juillet, les visites officielles .
- Théâtre, concerts, artistes, sociétés théâtrales.
- Fêtes foraines, cirques, ménagerie.
- Fêtes sportives hippisme, gymnastique.
- Réjouissances et cavalcades, fêtes de charité, fête du travail.
- Fêtes traditionnelles locales, les Rosières, la Bachellerie.";
Livre;FL 936 4 GIO;Empruntable;Local;Préhistoire de la Bretagne;GIOT Pierre-Roland   L’HELGOUAC’H Jean   MONNIER Jean-Laurent;1979;1;;Géographie et Histoire;Régions celtiques jusqu'à 486. Gaule histoire ancienne et préhistoire de la France ;"« La Bretagne a été très fréquentée par les premiers hommes il y a quelques centaines de milliers d’années. La première partie de cet ouvrage fait connaître les conditions de leur existence jusqu’à il y a environ 7 000 ans.
Les deux autres parties concernent les trois millénaires suivants, le néolithique breton largement dominé par son aspect mégalithique.»";
Livre;FL 321 03 GAR;Empruntable;Local;LES CHATELAINS DE POITOU XIe et XIIe siècles;GARAUD Marcel;1965;1;VIII;Sciences Sociales;Types d'Etats et de gouvernements Empires;"Mémoires de la Société des Antiquaires de l’Ouest - 4eme série
« Les châtelains sont, aux XIe et XIIe siècles, la pierre angulaire du régime politique qui se constitua sur les ruines de l’empire carolingien.
Autour des châteaux se forma une société nouvelle. Les châtelains se sont emparés de la puissance publique : la force armée, la justice et le fisc . Pendant près de deux siècles, ils ont exercé un pouvoir presque souverain dans le district de leur château, sous la souveraineté des comtes de Poitou.
L’étude qui s’arrête vers 1150, à l’époque où décline l’indépendance des châtelains, est divisée en trois parties : le comte et les châtelains, le pouvoir des châtelains, la structure de la société et la seigneurie foncière. »";
Livre;FL 944 05 GAB;Empruntable;Local;NAPOLÉON ET LA VENDÉE;GABORY Émile;1932;5;;Géographie et Histoire;Premier Empire 1804-1815;"Lorsque Bonaparte devient Premier consul, la Vendée poursuit sa lutte contre les idées révolutionnaires et s'insurge pour une troisième guerre au début de l'an VIII, s'opposant à la levée de 300 000 soldats.
La Constitution de l'an VIII et le Concordat, la liberté du culte retrouvée favorisent le retour de la paix malgré quelques « dissidents » qui créent « la Petite Église ». 
La plupart des Vendéens se rallie à Napoléon : il développe l'instruction, crée des routes, améliore les ports, instaure une ville nouvelle, Napoléon-Ville, favorise l'économie... 
La disette de 1811, l'augmentation des impôts et la levée de masse pour les guerres extérieures provoquent le mécontentement des Vendéens. Pendant les Cent-Jours, Napoléon ne rencontre qu'un faible soutien en Vendée où les habitants accueillent favorablement la Restauration.";
Livre;708 CAB;Empruntable;Autre;Guide des MUSÉES de France;CABANNE Pierre;1987;3;;Arts;Galeries, musées, collections d'art;"En plus de 2000 pages, le « Guide des musées de France » recense, décrit et présente plus de 2 000 sites. 
Chaque  musée fait l'objet d'une notice descriptive indiquant son histoire, ses spécialités ainsi que les œuvres et collections remarquables qu'il contient. La répartition géographique est établie par régions et par départements, les villes et les musées classés par ordre alphabétique.";
Livre;FL 590 944 Bes;Empruntable;Local;Bestiaire Poitevin;Collectif – U.P.C.P.;1984;1;;Sciences Naturelle et Mathématiques;Animaux. Histoire et traitement géographique des animaux en France;"""Expression traditionnelle - Expression contemporaine""
- Les animaux dans le milieu physique, écologie, élevage. 
- L'animal et ses représentations.
- L'animal et l'inconscient : littérature orale et vécu social.";
Livre;940 1 TOM;Empruntable;Autre;Le haut Moyen Âge;Collectif;1990;?;;Géographie et Histoire;Moyen Age;"Édition Rolf Toman
Le Haut Moyen-Âge - Exploration d'une époque reculée de l'an 1000 à l'an 1300
Traduction française de l'édition allemande. 
- Modes de vie de la société d'ordres - Royauté et noblesse : le fragile équilibre des forces - Formes de vie économique - L’ère de la chrétienté : aspects de la vie des chrétiens - Les beaux-arts - Le geste d'Arthur et le minnesang : la littérature allemande - Mentalité et conscience des hommes - 
Volume enrichi de très nombreuses reproductions et photographies.";
Livre;FL 385 HAR;Empruntable;Local;LA VENDÉE DES PETITS TRAINS;HAROUY Michel;1987;1;;Sciences Sociales;Transports ferroviaires;"Le siècle des petits trains.
""A la fin du XIXe et au début du XXe siècle, c'est la puissante Compagnie de l'État qui constitue et exploite le réseau local vendéen sous le prête-nom de sa filiale la Compagnie des Tramways de la Vendée. 
Enrichi de nombreuses photographies, de plans, de tableaux, de cartes et de schémas, l'ouvrage de Michel Harouy met en lumière cette épopée."" ";
Livre;FL 553 6 LEM;Empruntable;Local;paludiers de guérande;LEMONNIER Pierre;1984;1;;Sciences Naturelle et Mathématiques;Matières terreuses et autres matériaux;"L'ouvrage de Pierre Lemonnier comprend deux parties : 
Prenant en compte les objets et moyens de production, les processus et les connaissances spécifiques, la première partie concerne la description de la technique de production de sel et les relations sociales qu'elle implique. 
La seconde partie couvre l'histoire économique récente du marais de Guérande de la Révolution à l'époque contemporaine.";
Livre;FL 726 5 SAI;Empruntable;Local;l’église de Combrand;SAINT-DIDIER Guillaume;2006;1;;Arts;Edifices religieux Eglises chrétiennes;"Dix siècles d’histoire XIe - XXIe siècles
« L'église de Combrand, dix siècles d'histoire est un ouvrage qui raconte l'histoire d'une église du Nord du département des Deux-Sèvres, au cœur du bocage bressuirais.
D'innombrables indices cachés dans les creux de ses façades révèlent son histoire durant laquelle elle a connu trois grandes phases de construction (XIe, XVIe, XIXe siècles). Ce livre, c'est aussi les rares traces du quotidien de cette paroisse depuis le XIe siècle, procès, inventaires...  Pour finir, cette église est replacée dans son contexte actuel. »";
Livre;FL 914 461 CAT;Empruntable;Local;Aimer la Vendée;CATHERINE Cécile;1986;1;;Géographie et Histoire;Géographie Vendée;L'album de Cécile Catherine illustré de très nombreuses photographies invite à découvrir les sites et édifices remarquables des principales villes de Vendée classées par ordre alphabétique.;
Livre;FL 944 044 BON;Empruntable;Local;La Vendée en 1793;BONNEMÈRE Eugène;1866;2;;Géographie et Histoire;Terreur 1793-1794;"Première de couverture : République française - Liberté-Égalité-Fraternité - Ville de Paris - Fluctuat nec Mergitur - Prix Municipal. 
Eugène Bonnemère "" a raconté les principaux événements de l'insurrection vendéenne en 1793, c'est-à-dire pendant la période la plus courte de cette guerre impie, qui se prolongea jusqu'en 1796, jusqu'à la mort de Stofflet et de Charette. 
Ce premier acte d'un drame effroyable doit suffire pour inspirer à tous les partis l'horreur de ces luttes fratricides.""";
Livre;FL 944 62 LED;Empruntable;Local;HISTOIRE DE BRESSUIRE;LEDAIN Bélisaire;1977;2;;Géographie et Histoire;Histoire Deux-Sèvres;"Réimpression de l'édition de « l’Histoire de la ville de Bressuire » parue en 1880, deuxième édition revue, remaniée et très considérablement augmentée, suivie de l'histoire des guerres de la Vendée dans le district de Bressuire entre 1790 et 1800. 
Bélisaire Ledain relate l'histoire de la ville de Bressuire, du Moyen Age jusqu'à la fin du XIXe siècle. Il renseigne sur le développement de la ville, sur la puissance des Beaumont, seigneurs de Bressuire, sur la situation politique, juridique et religieuse de la cité avant la Révolution.";
Livre;FL B POI;Empruntable;Local;MÉMOIRES INÉDITS DE BERTRAND POIRIER DE BEAUVAIS;POIRIER DE BEAUVAIS Bertrand;1983;2;;Autobiographie ou Biographie;Autobiographie ou Biographie;"Réédition des Mémoires de Bertrand Poirier de Beauvais, commandant général de l'artillerie des armées de la Vendée, publiés par la Comtesse de la Bouëre en 1893.
En 1796, alors en exil à Londres en réponse aux « Mémoires » de Turreau, Bertrand Poirier de Beauvais rédige ses mémoires sur la guerre de Vendée qu’il a rallié de 1793 à 1795. Des principaux chefs vendéens ayant survécu : de Beauvais, d'Autichamp, de La Bouëre et de Sapinaud, seul Beauvais a raconté toute la guerre de Vendée de 1793 à 1795.";
Livre;FL 944 62 GAR;Empruntable;Local;HISTOIRE ABRÉGÉE DE LA VILLE ET BARONNIE DE BRESSUIRE DES ORIGINES À NOS JOURS;GARAND Raymond;1942;1;;Géographie et Histoire;Histoire Deux-Sèvres;"« L'histoire locale racontée à tous »
Opuscule concernant Bressuire en Poitou. 
Raymond Garand retrace l'historique de la cité à l'époque gallo-romaine, du bourg de Saint-Cyprien au temps des Taïfales puis sous l'autorité des Vicomtes de Thouars vers l'an mil. L'histoire de Bressuire se confond jusqu'au XVe siècle avec la puissante famille féodale propriétaire du château, les seigneurs de Beaumont. 
Aux siècles suivants, la baronnie passe successivement à la famille Laval-Montmorency, à Philippe Stozzi, aux comtes de Fiesque puis au temps de la Révolution à la famille d'Abbadie. 
L'auteur complète son exposé par une courte description de la création de l'hôpital et de l'organisation municipale, par l’évocation du peintre de Louis XIII, Charles Errare, ainsi que par les ravages des guerres de Religion et de la guerre de Vendée à Bressuire.";
Livre;944 HOU;Empruntable;Autre;GÉNIE DE LA FRANCE;HOURTICQ Louis;1944;1;;Géographie et Histoire;Histoire de France;"Louis Hourticq, historien de l'art français, offre un panorama géographique de la France et propose dans le premier chapitre de son livre, « Les offres de la terre », de découvrir les richesses du pays de la Méditerranée au Rhin et à l'Atlantique, dans le Massif Central et en Bretagne, à Paris et en d'autres provinces.
Le second chapitre  « L'effort des générations » traverse les âges ; l'auteur décrit les monuments, les œuvres d'art, les témoignages du passé légués par la société gauloise, la France chrétienne et la France monarchique, il fait part de l'orage romantique et relate le conflit de l'ordre et de la liberté après la Révolution française.
Nombreuses illustrations en sépia dans le texte et hors-texte.";
Livre;FL B FRA;Empruntable;Local;Cœur à Cœur Vendéen;PASQUIER Dominique-Firmin;2021;1;;Autobiographie ou Biographie;Autobiographie ou Biographie;"Fascicule reliure spirale. 
Récits de la vie de François-Firmin et de sa famille par son arrière-petit-fils pour « transmettre aux générations futures l'amour immodéré de François-Firmin pour son village, pour sa terre de Vendée. »";
Livre;304 6 HUB;Empruntable;Autre;LA POPULATION DE LA FRANCE SON ÉVOLUTION ET SES PERSPECTIVES;HUBER Michel - BUNLE Henri - BOVERAT Fernand;1943;2;;Sciences Sociales;Population (Démographie);"La population de la France son évolution et ses perspectives. 
L'ouvrage s’ouvre sur un état de la population française d'après les recensements de 1801 à 1936, comparée à celle des autres pays, sa répartition et sa composition : sexe, âge, état matrimonial, nationalité, profession, familles et ménages. 
La deuxième partie traite du mouvement de la population selon les statistiques de 1806 à 1839, des mariages et des divorces, de la natalité et la fécondité, de la mortalité, de l'émigration et de l'immigration.
La dernière partie expose les craintes dûes à la dépopulation et les remèdes à lui opposer.
Ouvrage illustré de 71 graphiques.";
Livre;944 64 SAU;Empruntable;Autre;SAINT-JEAN D’ANGÉLY;SAUDAU Louis-Claude;1978;2;;Géographie et Histoire;Histoire Charente-Maritime;"Réimpression de l'édition de 1886. 
« Saint-Jean d'Angély d'après les archives de l'échevinage et les sources directes de son histoire. »  
« Louis-Claude Saudau a essayé de vulgariser l'histoire de Saint-Jean d'Angély qui fut pendant plusieurs siècles la capitale de la Saintonge du nord restée française, et, à ce titre mêlée à tous les événements remarquables de la contrée », depuis ses origines jusqu'à l'établissement de sa commune (817-1204) au Moyen Âge (1204-1560),  pendant les guerres de Religion des XVIe et XVIIe siècles (1560-1621) et de la Révolution à l'époque contemporaine (1789-1886).";
Livre;FL B PIE;Empruntable;Local;HISTOIRE DU CARDINAL PIE ÉVÈQUE DE POITIERS;BAUNARD Louis Mgr;1886;2;II;Autobiographie ou Biographie;Autobiographie ou Biographie;"- 1 - Livre troisième : depuis la lutte avec l’Empire jusqu’au Concile général du Vatican (1859-1869) .
- 2 - Livre quatrième : depuis le Concile (1869-1870) jusqu’à la mort (1880).";
Livre;FL 352 29 Rec;Empruntable;Local;RECUEIL DES ACTES ADMINISTRATIFS DE MAINE ET LOIRE;Collectif;1846;1;;Sciences Sociales;Organisation et structure des départements et services ministériels;"Recueil des actes administratifs de la préfecture de Maine-et-Loire faisant suite à la correspondance administrative de Monsieur le Préfet. Année 1846. 
Adjudications publiques - Bulletins du ministère - Publications et recouvrements - Convocations des électeurs - Célébrations - Liste nominative des médecins - Levée des jeunes gens - Statistiques sur les récoltes - etc.";
Livre;307 72 DEM;Empruntable;Autre;UN HOMME ET SON TERROIR;DEMARD Albert;1978;1;;Sciences Sociales;Sciences Sociales Communauté Type Rurales;"Le bourg et le village. 
Album de 130 pages illustré de nombreuses photos en noir et blanc et en couleur où Albert Demard évoque la vie rurale d'autrefois, en Franche-Comté au musée de Champlitte : la maison et le mobilier, les travaux de la ferme et les outils, la chasse et la pêche, les « vieux » métiers, tanneur, sabotier, cordonnier, etc.";
Livre;745 5 SON;Empruntable;Autre;L’OBJET PAYSAN Sa beauté, Son mystère…;SONKIN Jeanne et Michel;????;?;;Arts;Arts décoratifs, arts mineurs. Artisanat d'art;Album de 64 pages richement illustré qui présente de nombreux objets de la campagne française utilisés avant la révolution industrielle, objets d'art populaire qui concerne la vie agricole et pastorale, le couple au foyer, le cycle des saisons, les événements familiaux, la magie et la sorcellerie, les divertissements.;
Livre;528 JOU;Empruntable;Autre;ÉPHÉMÉRIDES HISTORIQUES DE LA ROCHELLE;JOURDAN Jean-Baptiste–Ernest;1979;2;I;Sciences Naturelle et Mathématiques;Ephémérides;"Réimpression de l'édition de 1861-1871 
« Ces éphémérides ne sont pas un Manuel du cicerone rochelais, un guide du voyageur ; elles sont plutôt un aide-mémoire, des notes à consulter, qu'on ne saurait lire d'une façon suivie, mais que l'on pourra utilement interroger, non seulement sur les principaux événements de l'histoire de notre ville, mais encore sur une multitude de petits faits négligés par les historiens. » 
L'ouvrage est augmenté d'un plan inédit de La Rochelle de l'époque précédant l'édit de Nantes. 
Une table alphabétique et analytique des matières contenues dans les éphémérides complète l'ouvrage.";
Livre;528 JOU;Empruntable;Autre;ÉPHÉMÉRIDES HISTORIQUES DE LA ROCHELLE;JOURDAN Jean-Baptiste-Ernest;1979;2;II;Sciences Naturelle et Mathématiques;Ephémérides;"Réimpression de l'édition de La Rochelle, 1861-1871. 
Second tome des éphémérides historiques de La Rochelle de Jean-Baptiste-Ernest Jourdan dont les notes ont d'abord été publiées dans le Courrier de La Rochelle en 1860 et en 1869 et réunies en deux volumes, la première série en 1861, la seconde en 1871.";
Livre;FL 944 14 Gui;Empruntable;Local;Nantes la région et les plages nantaises;Collectif;????;?;;Géographie et Histoire;Histoire Loire-Atlantique;"Guide officiel édité par le Syndicat d'Initiative de Nantes et de la Région Nantaise. 
- Nantes : historique et architecture, la Loire, l'Erdre.
- Les environs de Nantes : la Loire en amont et en aval, excursions en bateau, le lac de Grand-Lieu et la Grande Brière, la vallée de la Sèvre, la forêt du Gâvre, Chateaubriant.
- Les Côtes de l'océan : la côte de Jade, la Côte d'Amour, Saint-Nazaire, La Baule, Guérande.
- Les îles : Noirmoutier, l'île d’Yeu, Belle-Ile-en-Mer.";
Livre;FL 914 464 HUG;Empruntable;Local;Département des Deux-Sèvres;HUGO Abel - VERNE Jules - JOANNE Adolphe;1991;2;;Géographie et Histoire;Géographie Charente-Maritime;"Trois livrets réédités en 1991 composent ce volume :
- Description pittoresque, topographique et statistique du département des Deux-Sèvres (1835) par Abel Hugo.
- Géographie illustrée de la France par Jules Verne (1879) ; illustrations par Clerget et Riou.
- Dictionnaire des communes du département des Deux-Sèvres (1875) par Adolphe Joanne.";
Livre;726 6 LED;Empruntable;Autre;LA CATHÉDRALE DU MANS - SAINT JULIEN;LEDRU Antoine chanoine;1959;4;;Arts;Edifices religieux Cathédrales;Fascicule à l'usage des visiteurs pour découvrir la cathédrale Saint-Julien du Mans : la nef - le transept - le chœur - les stalles, les orgues, les tapisseries - les monuments funéraires - l'autel du Crucifix, la statue de Sainte-Cécile, le bréviaire des pauvres, le lutrin, le trésor, etc. ;
Livre;FL 330 446 2 MOI;Empruntable;Local;Patrimoine industriel des Deux-Sèvres;MOISDON-POUVREAU Pascale;2005;1;;Sciences Sociales;Economie en Deux-Sèvres;« De la forge de la Peyratte du XVIIe siècle à l’usine de fabrication de cuves inox Pierre Guérin à Mauzé-sur-le-Mignon fondée en 1949, le patrimoine des Deux-Sèvres est riche de 300 usines antérieures à 1950. Son étude a été conduite de 2001 à 2004. Les résultats, présentés ici, mettent en évidence les principaux domaines d'activité de transformation du département. Ils permettent ainsi de découvrir, ou redécouvrir, un patrimoine méconnu qui porte témoignage de l'histoire économique, architecturale, sociale et technique des Deux-Sèvres. »;
Livre;016 LEM;Empruntable;Autre;BIBLIOGRAPHIE de la Contre-Révolution dans les Provinces de l’Ouest;LEMIÈRE Edmond;1976;2;;Généralités;Biographies et catalogues spécialisés;"Bibliographie des ouvrages et des écrits sur les guerres de la Vendée et sur la Chouannerie ; les insurrections royalistes en Bretagne, Poitou, Anjou, Maine et Normandie de 1793 à 1832. ";
Livre;FL 726 7 FOU;Empruntable;Local;L’ABBAYE DE SAINT-MAIXENT ET SON DESTIN;FOUCHIER Jacques;1987;2;;Arts;Edifices religieux Monastères, abbayes, couvents;"Jacques Fouchier évoque en trois parties « les moments principaux de la vie des communautés qui, depuis les saints fondateurs, Agapit, Maixent et Léger, se sont succédés en cette abbatiale.
La première partie commence au Ve siècle avant la naissance de la communauté religieuse pour s’achever par la dislocation de celle-ci au XVIIIe siècle au moment de la Constitution civile du clergé.
La seconde partie concerne la période qui va de la Révolution française au Second Empire : l’évêché constitutionnel, la XIIe cohorte de la Légion d’Honneur, le dépôt de mendicité départemental et l’école ecclésiastique saint-maixentaise.
La troisième partie constitue le récit de l’active participation de l’abbaye à la vocation militaire de la ville depuis un siècle. »";
Livre;FL R BLA;Empruntable;Local;LE CHEVALIER DE BOURNIGAL;BLANPAIN de SAINT-MARS Louis;1946;1;;Roman;Roman;"« C'est durant les Cent Jours que Louis Blanpain de Saint-Mars commence son récit, par une chevauchée de son héros le chevalier de Bournigal qui aborde la Vendée après de nombreuses années d'exil et court vers son aventure de guerre et d'amour. 
L'héroïne, une jeune fille, Anne Miellet-Grandchamp, dont s’éprend le chevalier de Bournigal sera la victime du drame qui va se jouer. L’affabulation tourne autour d'un trésor caché, le trésor de Charette, jeté  au fond d'un puits de la forêt de Grala. »
Dessins de G. Gauducheau-Merlet.";
Livre;235 2 LUC;Empruntable;Autre;LE CULTE DE SAINT MAUDET ET DE SAINT RION;LUCAS J. M. abbé;1893;2;;Religion;Etres spirituels Saints;"Extrait de la Revue Historique de l'Ouest.
Saint Maudet, irlandais-armoricain du VIe siècle : 
« Avant la canonisation de Saint Yves, aucun saint de l'Armorique ne fut honoré d’un culte public, aussi populaire, aussi universel, pour ainsi dire que Saint Maudet. Ce culte avait bien vite franchi les marches de Bretagne surtout après l'an 878, époque où les reliques du saint breton furent transférées à Bourges pour les soustraire aux ravages des Northmans. » 
Saint Rion :
« Il faut placer saint Rion parmi les saint bretons inconnus, en ce sens qu'ils n'ont pas d'histoire. Pour être inconnus, ces saints ont réellement existé surtout quand on trouve leurs noms mêlés à l'histoire de notre pays, inscrits à chaque page de nos cartulaires, honorés dans les plus célèbres et les plus savants ordre religieux de l'église catholique. »";
Livre;R BAL;Empruntable;Autre;LES CHOUANS - UNE PASSION DANS LE DÉSERT;BALZAC Honoré de;1935;?;II;Roman;Roman;"Collection : « Génie de France »
- Première partie : « Les Chouans  ou la Bretagne en 1799 ». 
Tome 2 (chapitres III et IV) 
Réédition du roman d'Honoré de Balzac sur la guerre des Chouans en Bretagne, fortement remaniée par l'auteur. 
Lutte entre les paysans bretons, les Chouans et les troupes républicaines du commandant Hulot autour de Fougères jusqu'à la mort des héros Marie de Verneuil et le marquis de Montauran. 
- Seconde partie : « Une passion dans le désert. »
Dans ce court roman de 1832 Balzac décrit la rencontre dans le désert, entre un soldat et une panthère.";
Livre;FL 726 4 TRI;Empruntable;Local;NOTRE-DAME DU MARILLAIS à travers les âges;TRICOIRE Louis abbé;1938;1;;Arts;Annexes aux bâtiments industriels religieux (chapelles, baptistères);L’abbé Louis Tricoire développe l'historique du sanctuaire de Notre-Dame du Marillais. Il évoque sa situation en bordure de Loire près de Saint-Florent-le-Vieil et renseigne sur son histoire, son implantation au Ve siècle, les ravages des guerres de Religion et de la Terreur, les pèlerinages, l'édification du nouveau sanctuaire.;
Livre;944 02 BRI;Empruntable;Autre;Contrebandiers du sel;BRIAIS Bernard;1984;1;;Géographie et Histoire;Période médiévale 987 - 1589;"La vie des faux-sauniers au temps de la gabelle. 
« Par groupes ou solitaires, le bissac sur l'épaule ou suivant leurs mulets, ils apportaient le sel de contrebande jusqu'au cœur des pays de grandes gabelles par des chemins connus d’eux seuls, des « pistes mystérieuses », défiant constamment la meute des gabelous lancée à leur poursuite. 
Des marches de Lorraine aux frontières de Bretagne, des chemins creux du Maine aux marécages de la Brenne, par centaines, par milliers, le bâton à la main et la peur au ventre, ils sillonnaient le royaume, risquant pour des profits souvent dérisoires, des peines extravagantes : la prison, le fouet, la marque au fer rouge, les galères ou la mort. »";
Livre;266 FAU;Empruntable;Autre;Les porteurs d’espérance;FAUCONNET-BUZELIN Françoise;1999;1;;Religion;Missions;"La mission du Tibet-Sud (1848-1854)
« Depuis 1978, les populations tribales d’Arunachal Pradesh, le plus oriental des états de l'Inde du Nord-Est, adhèrent massivement au catholicisme en dépit d'une législation qui interdit les conversions. 
Pour des raisons mystérieuses, cette église en gestation revendique le patronage spirituel de deux prêtres français des Missions étrangères de Paris, Nicolas Krick et Augustin Bourry, assassinés en 1854, alors qu'ils traversaient le pays pour se rendre au Tibet. 
Qui étaient ces hommes ? Dans quelles conditions ont-ils accompli leur mission ? Comment le catholicisme est-il apparu dans cette région, plus de cent vingt ans après leur mort ? Toutes les questions abordées dans ce livre conduisent à scruter le sens profond de la mission. »
 Nicolas Krick est né le 1er mars 1819 à Lixheim (Moselle).
 Augustin Bourry est né le 27 décembre 1826 à la Chapelle-Largeau (Deux-Sèvres).";
Livre;268 ABR;Empruntable;Autre;ABRÉGÉ DU CATÉCHISME;Collectif;????;?;;Religion;Instruction religieuse;"Cet abrégé du Catéchisme du diocèse de Poitiers imprimé par ordre de Monseigneur Pelgé, évêque de Poitiers de 1894 à 1911, est tiré du Catéchisme du diocèse de Poitiers ; il est destiné aux enfants de sept ans qui se préparent à leur première communion « privée ».";
Livre;B TOC;Empruntable;Autre;Souvenirs d’Alexis de TOCQUEVILLE;TOCQUEVILLE Alexis de;1942;4;;Autobiographie ou Biographie;Autobiographie ou Biographie;"Collection : « Mémoire du passé pour servir au temps présent ». 
Nouvelle édition conforme au texte original de 1852 augmenté de fragments inédits. 
Première partie : Physionomie générale de l'époque qui a précédé la révolution de 1848 . 
Seconde partie : Réflexions et résolutions personnelles ; engagement politique. 
Dernière  partie  : Récit des événements politiques et sociaux de juin à octobre 1849, période où l'auteur, élu à l'Assemblée législative, est ministre des Affaires étrangères du second gouvernement Barrot.";
Livre;FL 944 169 PRU;Empruntable;Local;Le MARTYRE de la VENDÉE PENDANT LA RÉVOLUTION;PRUNIER Louis-Pierre chanoine;1922;1;;Géographie et Histoire;Histoire Vendée;"« On a dit de la Vendée qu'elle est la Terre Sainte de l'Europe. L'ouvrage que nous donnons au public est la justification de cette parole. 
Considérée dans son ensemble et dans ses grandes lignes, la lutte héroïque de la « Vendée Militaire » fut un long « martyre », et l’ histoire de cette incomparable croisade que les paysans vendéens nommaient si bien la « Grande Guerre » fut un sanglant martyrologe. Car les Vendéens ont avant tout combattu et ils sont morts pour la défense de la religion catholique, apostolique et romaine. »";
Livre;FL 726 7 LAC;Empruntable;Local;L’ABBAYE DE MAILLEZAIS;LACURIE Victor-Auguste abbé;1852;1;;Arts;Edifices religieux Monastères, abbayes, couvents;"""Histoire de l’abbaye de Maillezais depuis sa fondation jusqu’à nos jours.""
La première partie du livre de M. l'abbé Lacurie fait ressortir les services importants que rendirent les Moines à l'abbaye. 
La seconde partie renferme l'histoire du siège épiscopal (1317-1648) et trace les principaux faits des guerres religieuses au temps de la Réforme. 
Dans la dernière partie sont présentées cent trente-cinq pièces justificatives.";
Livre;FL 263 041 BON;Empruntable;Local;HISTOIRE DU PÈLERINAGE DE NOTRE-DAME DE BEAUCHÊNE AU BOCAGE VENDÉEN;BONNEAU Victor dom;1893;1;;Religion;Pélerinages;« Le R.P.dom Victor Bonneau, chanoine régulier de la Congrégation du Très Saint Sauveur de Latran, retrace l'histoire de Notre-Dame de Beauchêne en bocage vendéen, en l'encadrant dans son passé et dans ses faits alentours. »;
Livre;FL 944 169 DOR;Empruntable;Local;DU CHÂTEAU DE TALMOND À LA TOUR D’ARUNDEL;DORÉ T. O.;1956;1;;Géographie et Histoire;Histoire Vendée;"Collection des « Ollonnes »
Extrait de la vieille histoire sablaise (fascicule reconstitué) : Les mégalithes - Les invasions romaine et normande - La vieille église et le vieux château de Talmond - L'abbaye de Sainte-Croix -  Les seigneurs de Talmond - La légende de l'ogresse Béatrix de Machecoul - Louis XI - Henri IV à Talmond.";
Livre;FL 944 167 GUI;Empruntable;Local;PRÉCIS D’HISTOIRE DE NANTES;GUILLOUX Félix;1922;1;;Géographie et Histoire;Histoire Loire-Atlantique;"Courte histoire de Nantes à l'usage des écoles. 
Les origines : le village gaulois, la cité gallo-romaine - Les invasions : les Francs, les Bretons, les Normands - Les Capétiens : Alain Barbe-Torte, le système féodal, la guerre de Cent ans - XIVe et XVe : les derniers siècles de la cité bretonne - XVIe et XVIIe : l'avènement de la bourgeoisie - XVIIIe : l'apogée de la propriété nantaise, la tourmente révolutionnaire - XIXe : la renaissance commerciale et industrielle, la prospérité économique.";
Livre;569 GIN;Empruntable;Autre;LES RESTES DE MAMMIFÈRES DES FALUNS DE L’ANJOU-TOURAINE;GINSBURG Léonard - MORNAND Jean;1986;1;;Sciences Naturelle et Mathématiques;Mammifères fossiles;"Mémoire numéro 6 - Société d'Études Scientifiques de l'Anjou.
Catalogue de 150 espèces : proboscidiens, carnivores, périssodactyles, artiodactyles, rongeurs, cétacés.";
Livre;791 436 2 RIE;Empruntable;Autre;LA GRANDE AVENTURE DU WESTERN;RIEUPEYROUT Jean-Louis;1987;1;;Arts;Représentations scéniques, genres de films;"Du Far West à Hollywood (1894-1964)
« Qu'est-ce que le western sinon comme l'écrivait André Bazin, « le cinéma américain par excellence » ? Si les héros les plus célèbres de l'Ouest sont devenus légendaires, c'est par le cinéma, par le western. C'est la grandeur et la beauté du cinéma américain d'avoir trouvé des acteurs de l'étoffe des héros, d'avoir rendu Gary Cooper aussi célèbre que Wild Bill Hickok, John Wayne que David Crockett, Errol Flynn que le général George Armstrong Custer. »";
Livre;FL 944 169 PRU;Empruntable;Local;LA VENDÉE MILITAIRE;PRUNIER  Louis-Pierre;1922;4;;Géographie et Histoire;Histoire Vendée;"- Portraits, Épisodes et Récits par le chanoine Louis-Pierre Prunier des guerres de Vendée de 1789 à 1832. 
« Le sentiment religieux, qui fit la guerre vendéenne, en fit aussi la grandeur, l'héroïsme et la beauté. Il transforma ces luttes en combats de géants, et jeta sur les exploits de nos paysans chevaliers tant d'intérêt et tant d'éclat, que l'histoire des guerres de Vendée est, de l'aveu de tous, l'une des pages les plus émouvantes et les plus glorieuses de nos annales militaires. »";
